erlang index,erlang,general blocking,BBP,Total current utilization,Blocked by XT,Ruta mas larga,Max XT for modulation 16QAM,Max XT for modulation 8QAM,Max XT for modulation QPSK,Max XT for modulation BPSK,conexiones exitosas con 16QAM,conexiones exitosas con 8QAM,conexiones exitosas con QPSK,conexiones exitosas con BPSK
erlang index: 1, erlang: 1000, general blocking: 0, BBP: 0, Total current utilization: 0.0107843, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 386326, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -99, Max XT for modulation 8QAM: -99, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :850720, conexiones exitosas con 8QAM :149281, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 2, erlang: 2000, general blocking: 0, BBP: 0, Total current utilization: 0.0201256, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 557725, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -99, Max XT for modulation 8QAM: -99, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :882748, conexiones exitosas con 8QAM :117253, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 3, erlang: 3000, general blocking: 0, BBP: 0, Total current utilization: 0.0286334, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 745778, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -40.9691, Max XT for modulation 8QAM: -38.1192, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :904960, conexiones exitosas con 8QAM :95041, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 4, erlang: 4000, general blocking: 0, BBP: 0, Total current utilization: 0.0373061, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 999349, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -38.1192, Max XT for modulation 8QAM: -38.1192, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :906311, conexiones exitosas con 8QAM :93690, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 5, erlang: 5000, general blocking: 0, BBP: 0, Total current utilization: 0.0458966, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 1.27124e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -38.1192, Max XT for modulation 8QAM: -38.1192, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :912131, conexiones exitosas con 8QAM :87870, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 6, erlang: 6000, general blocking: 0, BBP: 0, Total current utilization: 0.0544178, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 1.57472e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -36.2305, Max XT for modulation 8QAM: -33.6752, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :917386, conexiones exitosas con 8QAM :82615, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 7, erlang: 7000, general blocking: 0, BBP: 0, Total current utilization: 0.0638366, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 1.86866e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -34.6216, Max XT for modulation 8QAM: -33.3477, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :919211, conexiones exitosas con 8QAM :80790, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 8, erlang: 8000, general blocking: 0, BBP: 0, Total current utilization: 0.0719861, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 2.30997e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :923337, conexiones exitosas con 8QAM :76664, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 9, erlang: 9000, general blocking: 0, BBP: 0, Total current utilization: 0.080242, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 2.7372e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :929716, conexiones exitosas con 8QAM :70285, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 10, erlang: 10000, general blocking: 0, BBP: 0, Total current utilization: 0.0892689, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 3.12647e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :932582, conexiones exitosas con 8QAM :67419, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 11, erlang: 11000, general blocking: 0, BBP: 0, Total current utilization: 0.0985099, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 3.5782e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :933551, conexiones exitosas con 8QAM :66450, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 12, erlang: 12000, general blocking: 0, BBP: 0, Total current utilization: 0.106826, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 3.89346e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :937681, conexiones exitosas con 8QAM :62320, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 13, erlang: 13000, general blocking: 0, BBP: 0, Total current utilization: 0.11446, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 4.27684e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :940440, conexiones exitosas con 8QAM :59561, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 14, erlang: 14000, general blocking: 0, BBP: 0, Total current utilization: 0.123708, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 4.57514e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :938474, conexiones exitosas con 8QAM :61527, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 15, erlang: 15000, general blocking: 0, BBP: 0, Total current utilization: 0.131859, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 4.92184e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :937538, conexiones exitosas con 8QAM :62463, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 16, erlang: 16000, general blocking: 0, BBP: 0, Total current utilization: 0.140575, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 5.32022e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :937219, conexiones exitosas con 8QAM :62782, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 17, erlang: 17000, general blocking: 0, BBP: 0, Total current utilization: 0.149622, Blocked by XT: 0, Ruta mas larga: 771, tiempo transcurrido: 6.15535e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -33.3477, Max XT for modulation 8QAM: -33.3477, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :934157, conexiones exitosas con 8QAM :65844, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
